workid	ctype	creatorid
357	libretto	61
199	music	197
179	music	177
188	libretto	243
86	libretto	196
387	translation	40
124	libretto	252
228	translation	7
191	libretto	1
252	music	164
311	libretto	76
278	music	153
226	translation	11
348	music	176
317	music	197
249	translation	145
69	music	48
116	libretto	113
110	music	247
59	libretto	239
398	music	197
120	libretto	118
249	music	211
150	music	82
115	translation	245
53	music	168
106	music	187
259	music	153
122	music	232
369	libretto	81
352	music	199
325	translation	56
207	libretto	118
400	libretto	254
28	libretto	71
95	libretto	81
314	libretto	171
254	libretto	174
36	libretto	224
389	libretto	196
241	libretto	55
28	libretto	125
101	libretto	196
357	music	39
252	libretto	54
371	music	210
75	music	60
347	music	154
403	music	50
313	libretto	179
240	music	82
140	libretto	153
333	libretto	125
252	libretto	145
313	music	258
285	libretto	172
186	music	16
167	libretto	215
140	music	153
165	libretto	106
164	libretto	150
65	music	48
283	music	192
9	music	154
24	libretto	149
289	libretto	5
177	music	82
260	libretto	47
135	libretto	118
286	libretto	22
21	libretto	72
59	libretto	144
119	music	48
232	libretto	266
375	libretto	160
1	libretto	196
14	libretto	118
79	libretto	165
307	libretto	249
192	music	23
128	libretto	160
181	libretto	160
248	music	232
253	music	69
317	libretto	126
222	music	164
143	libretto	160
18	libretto	266
387	libretto	115
264	libretto	44
412	music	69
4	libretto	219
80	music	81
248	libretto	184
401	translation	100
343	libretto	7
39	translation	171
340	music	143
308	libretto	9
338	libretto	118
343	music	101
70	libretto	54
209	music	39
192	music	103
180	music	86
53	libretto	47
75	libretto	145
227	music	62
396	music	153
323	libretto	196
11	music	258
198	libretto	81
388	libretto	46
97	libretto	106
179	libretto	81
336	music	90
152	libretto	249
329	libretto	160
401	libretto	95
317	libretto	32
304	libretto	145
177	libretto	118
293	libretto	47
300	music	69
11	libretto	213
62	libretto	47
268	libretto	75
100	translation	245
385	music	69
192	libretto	226
405	music	35
169	libretto	49
69	libretto	194
107	libretto	159
37	translation	145
241	music	259
410	libretto	21
301	music	267
191	translation	47
39	libretto	66
50	libretto	179
337	libretto	118
170	libretto	121
70	music	3
339	libretto	101
309	libretto	106
144	music	51
207	music	164
150	libretto	118
69	libretto	26
224	libretto	76
20	libretto	81
347	libretto	109
193	music	154
2	music	187
204	music	57
288	libretto	157
220	libretto	249
117	libretto	88
271	libretto	26
3	libretto	231
373	libretto	55
146	music	177
76	music	246
71	music	197
61	music	258
359	music	179
258	libretto	53
153	music	247
251	libretto	160
41	libretto	47
255	music	69
267	libretto	117
240	music	154
381	libretto	81
173	libretto	76
88	music	211
73	libretto	213
211	libretto	260
74	libretto	81
89	music	154
231	libretto	170
84	music	168
180	libretto	208
31	libretto	87
206	libretto	245
400	libretto	70
202	music	247
188	libretto	106
46	libretto	106
233	music	27
161	music	131
88	libretto	170
26	libretto	140
253	libretto	179
229	music	16
55	music	187
262	libretto	169
396	libretto	153
319	libretto	36
156	music	259
24	music	27
74	music	81
197	music	6
90	music	2
209	libretto	61
37	music	211
334	libretto	106
378	translation	245
392	music	82
235	music	108
10	music	81
315	music	177
303	libretto	76
66	libretto	25
292	music	247
55	libretto	193
22	music	211
154	libretto	160
217	libretto	29
331	libretto	179
229	libretto	107
277	music	2
73	music	247
185	translation	36
257	libretto	196
266	libretto	84
126	libretto	72
155	music	45
105	libretto	160
258	music	200
102	music	267
27	libretto	76
380	libretto	160
321	libretto	121
42	libretto	42
10	libretto	193
111	libretto	230
16	music	168
223	libretto	55
230	libretto	47
100	libretto	140
355	libretto	18
127	music	81
392	libretto	215
255	libretto	217
144	libretto	133
125	libretto	106
205	libretto	106
273	libretto	110
94	music	13
320	libretto	216
228	libretto	80
384	music	247
