id	cname
1	Robert Bodanzky
2	Ábrahám Pál
3	Fejér Jenő
4	Heinz Reichert
5	Bajthay Mihály
6	Szántó Mihály
7	Heltai Jenő
8	Pesti Kálmán
9	Rudolf Schanzer
10	Szendy Árpád
11	Tábori Emil
12	Molnár Ferenc
13	Kun Richárd
14	Kristóf Károly
15	Fellner Pál
16	Nagypál Béla
17	Rössel Nándor
18	Halász Imre
19	Babay József
20	Charles Méré
21	Abonyi Árpád
22	Márkus Géza
23	Friedl Frigyes
24	László Jenő
25	Rejtő Jenő
26	Somogyi Gyula
27	Berényi Henrik
28	Váli Pál
29	Bíró Lajos
30	Garay Imre
31	Békeffi László
32	Kottow János
33	Ternay István
34	Rudolf Oesterreicher
35	Jarnó György
36	Gábor Andor
37	Radó József
38	Szávay Gyula
39	Kálmán Imre
40	Lányi Viktor
41	Buttola Ede
42	Hevesi Sándor
43	Rieger Tibor
44	Erdélyi Mihály
45	Krasznai Krausz Mihály
46	Szomory Emil
47	ismeretlen
48	Eisemann Mihály
49	Ottokar Tann-Bergler
50	Stephanides Károly
51	Dunai László
52	Szenes Béla
53	Tary Mihály
54	Béldi Izor
55	Rajna Ferenc
56	Szenes Andor
57	Konti József
58	Paksi József
59	Vadnai László
60	Sztojanovits Jenő
61	Leo Stein
62	Szabados Béla
63	Hegyi Béla
64	K. Halász Gyula
65	ifj. Bokor József
66	Bernard Buchbinder
67	Matolay Károly
68	Sümegi Ödön
69	Szirmai Albert
70	Bulissa Rezső
71	Fritz Grünbaum
72	Török Rezső
73	Ludwig Herzer
74	Bródy Miksa
75	Zágon István
76	Földes Imre
77	Paul Armont
78	Mihály István
79	Darvas Szilárd
80	Robert Bodansky
81	Farkas Imre
82	Fényes Szabolcs
83	Majorossy Aladár
84	Harsányi Zsolt
85	Reményi Béla
86	Hajdú Imre
87	Stella Adorján
88	Nóti Károly
89	Mozsányi László
90	Stoll Károly
91	Maurice Dekobra
92	Nyárai Antal
93	Löhner
94	Forrai Miklós
95	E. Norini
96	Ruttkay György
97	Guthi Soma
98	Kossovich Pál
99	Köpf Kálmán
100	Feld Aurél
101	Kacsóh Pongrác
102	Liptai Imre
103	Somló Sándor
104	Bródy Tamás
105	Lakatos László
106	Szilágyi László
107	Uray Dezső
108	Jaczkó Rezső 
