id	title	original	theatre	pyear	acts	scenes
1	A régi orfeum		Fővárosi Operettszínház	1932	3	
2	A tengerszem tündére		Magyar Színház	1906	3	
3	Eleven ördög		Népszínház	1885	3	
4	Felsőbb asszonyok		Népszínház	1904	3	
5	Itt a macska			1922		
6	Szentgalleni kaland		Kaposvár	1909	3	
7	Nápolyi kaland		Fővárosi Operettszínház	1934	3	
8	Nászutazás a kaszárnyában		Budai Nyári Színkör	1905	3	
9	Csodatükör		Fővárosi Operettszínház	1941	3	
10	Pünkösdi rózsa		Revü Színház	1920	3	
11	Gernyóhidi lakodalom		Óbudai Kisfaludy Színház	1929	3	
12	Macskazene		Szeged	1937	3	
13	A muzsikus leány		Budai Nyári Színkör	1911	3	
14	Zsiványkirály		Royal Orfeum	1927	3	
15	Leányka		Népszínház	1906	3	
16	Csak azért is			1934		
17	Meluzina		Városi Színház	1930	3	
18	Frasquita		Városi Színház	1925	3	
19	A kis király		Népopera	1914	3	
20	A kis kadét		Budai Nyári Színkör	1921	3	
21	A királyné papucsa			1926		
22	Apukám 	Clo-Clo	Fővárosi Operettszínház	1924	3	
23	Az anarchista kisasszony		Budai Nyári Színkör	1910	3	
24	A púpos Boldizsár		Magyar Színház	1922	3	
25	Narancsvirág		Király Színház	1910	1	
26	A tökéletes asszony		Budai Nyári Színkör	1914	3	
27	Olívia hercegnő		Fővárosi Operettszínház	1922	3	
28	Tökéletes feleség 	Die ideale Gattin	Király Színház	1913	3	
29	Gólyaszanatórium		Markus Park Színház	1937	3	
30	Kaszárnya áristom		Andrássy-úti Színház	1929	3	
31	Bécsi tavasz		Városi Színház	1935	3	
32	Falu végén kurta kocsma		Bethlen-téri Színház	1931	3	
33	Első emelet 7.			1943		
34	Zsákbamacska		Pesti Színház	1932	3	
35	Nemtudomka		Király Színház	1914	3	
36	Mária		Magyar Királyi Operaház	1905	3	
37	A víg özvegy 	Die lustige Witwe	Magyar Színház	1906	3	
38	Becskereki menyecske		Erzsébetvárosi Színház	1941	3	
