id	confid	price	unit
1	32	500	pce
2	76	10900	16 slices
3	106	4300	8 slices
4	88	300	pce
5	116	16200	24 slices
6	135	250	pce
7	127	4400	kg
8	50	13400	24 slices
9	70	700	pce
10	31	5200	kg
11	96	3300	kg ​​
12	116	5700	8 slices
13	22	9000	16 slices
14	138	4400	kg
15	112	2900	kg
16	58	3200	kg
17	98	10400	16 slices
18	75	2100	bar
19	24	11400	24 slices
20	62	600	pce
21	61	8400	16 slices
22	105	10900	16 slices
23	20	4700	8 slices
24	123	1800	bar
25	60	8200	16 slices
26	24	3900	8 slices
27	38	4300	8 slices
28	126	2100	bar
29	64	750	pce
30	109	300	pce
31	66	350	
32	89	13200	24 slices
33	98	15400	24 slices
34	24	7400	16 slices
35	76	5700	8 slices
36	131	250	pce
37	50	9200	16 slices
38	55	600	pce
39	87	3400	kg
40	4	3500	wreath
41	8	400	pce
42	100	450	pce
43	129	5300	8 slices
44	35	4700	8 slices
45	47	490	pce
46	89	9000	16 slices
47	111	3300	kg
48	94	400	pce
49	42	16200	24 slices
50	80	350	pce
51	134	4700	8 slices
52	128	4000	kg
53	90	5200	kg
54	39	13200	24 slices
55	71	7400	16 slices
56	17	3400	kg
57	68	18400	24 slices
58	81	8200	16 slices
59	134	9000	16 slices
60	108	11400	24 slices
61	97	5200	kg
62	81	4300	8 slices
63	44	3800	kg
64	72	5700	8 slices
65	49	250	pce
66	48	350	pce
67	14	350	pce
68	107	12200	24 slices
69	27	15400	24 slices
70	106	12100	24 slices
71	74	7400	16 slices
72	40	5700	8 slices
73	133	450	pce
74	77	490	pce
75	22	13200	24 slices
76	119	9000	16 slices
77	120	3400	kg
78	105	5700	8 slices
79	119	13200	24 slices
80	99	4600	kg
81	61	12200	24 slices
82	93	4200	kg
83	59	13200	24 slices
84	82	5700	8 slices
85	56	600	pce
86	23	550	pce
87	81	12100	24 slices
88	67	500	pce
89	68	6400	8 slices
90	38	8200	16 slices
91	139	4700	8 slices
92	30	530	pce
93	95	16200	24 slices
94	101	400	pce
95	65	400	pce
96	10	12100	24 slices
97	59	9000	16 slices
98	119	4700	8 slices
99	82	16200	24 slices
100	3	3300	kg
101	104	4200	kg
102	110	530	pce
103	1	300	pce
104	25	8200	16 slices
105	40	16200	24 slices
106	36	490	pce
107	124	3900	8 slices
108	16	530	pce
109	29	3500	wreath
110	116	10900	16 slices
111	71	3900	8 slices
112	2	500	pce
113	71	11400	24 slices
114	10	4300	8 slices
115	108	3900	8 slices
116	69	450	pce
117	39	9000	16 slices
118	25	4300	8 slices
119	107	8400	16 slices
120	5	9000	12 slices
121	106	8200	16 slices
122	114	450	pce
123	26	400	pce
124	82	10900	16 slices
125	28	8200	16 slices
126	42	10900	16 slices
127	35	13200	24 slices
128	74	3900	8 slices
129	19	450	pce
130	25	12100	24 slices
131	125	5700	8 slices
132	95	5700	8 slices
133	34	1700	bar
134	121	530	pce
135	76	16200	24 slices
136	13	400	pce
137	60	12100	24 slices
138	33	350	pce
139	132	530	pce
140	117	9900	16 slices
141	27	10400	16 slices
142	18	490	pce
143	124	7400	16 slices
144	122	5200	kg
145	59	4700	8 slices
146	124	11400	24 slices
147	134	13200	24 slices
148	45	450	pce
149	63	350	pce
150	6	3900	8 slices
151	28	4300	8 slices
152	37	3900	8 slices
153	52	5000	kg
154	61	4500	8 slices
155	86	600	pce
156	6	7400	16 slices
157	37	7400	16 slices
158	11	490	pce
159	108	7400	16 slices
160	35	9000	16 slices
161	107	4500	8 slices
162	6	11400	24 slices
163	79	4000	kg
164	60	4300	8 slices
165	21	5700	8 slices
166	28	12100	24 slices
167	15	5000	kg
168	21	5700	8 slices
169	37	11400	24 slices
170	74	11400	24 slices
171	103	650	pce
172	43	4200	kg 
173	12	3400	kg
174	27	5400	8 slices
175	7	490	pce
176	84	5200	kg
177	115	3600	kg
178	51	4000	kg
179	118	450	pce
180	41	530	pce
181	135	400	pce
182	73	5400	8 slices
183	10	8200	16 slices
184	98	5400	8 slices
185	113	850	pce
186	130	350	pce
187	39	4700	8 slices
188	136	3400	kg
189	83	650	pce
190	91	800	200 g
191	46	5200	kg
192	102	330	pce
193	95	10900	16 slices
194	54	580	pce
195	57	530	pce
196	22	4700	8 slices
197	92	450	pce
198	68	12400	16 slices
199	42	5700	8 slices
200	40	10900	16 slices
201	9	450	pce
202	78	4200	kg
203	85	500	pce
204	137	600	pce
205	50	4900	8 slices
206	38	12100	24 slices
207	53	4200	kg
208	89	4700	8 slices
