demand	servid	quantity
2018.01.04	5	1
2018.01.11	5	1
2018.01.18	4	2
2018.01.18	5	1
2018.01.17	3	1
2018.01.24	5	1
2018.01.30	1	3
2018.01.31	4	1
2018.02.01	5	1
2018.02.08	5	1
2018.02.13	4	1
2018.02.15	5	1
2018.02.22	5	1
2018.02.27	1	2
2018.03.02	4	1
2018.03.01	5	1
2018.03.04	3	2
2018.03.08	5	1
2018.03.15	5	1
2018.03.21	5	1
2018.03.29	5	1
2018.04.03	3	6
2018.04.05	5	1
2018.04.11	3	19
2018.04.09	4	1
2018.04.10	5	1
2018.04.19	5	1
2018.04.26	5	1
2018.04.29	3	5
2018.05.03	5	1
2018.05.06	3	4
2018.05.10	5	1
2018.05.16	3	3
2018.05.17	5	1
2018.05.21	3	3
2018.05.22	1	1
2018.05.24	4	1
2018.05.24	5	1
2018.05.27	3	3
2018.05.31	5	1
2018.06.03	5	1
2018.06.04	3	5
2018.06.04	1	3
2018.06.06	4	3
2018.06.07	5	1
2018.06.10	5	1
2018.06.10	3	2
2018.06.14	5	1
2018.06.17	5	1
2018.06.20	3	2
2018.06.20	4	1
2018.06.21	5	1
2018.06.24	5	1
2018.06.25	3	2
2018.06.27	5	1
2018.07.01	5	1
2018.07.02	3	1
2018.07.02	4	3
2018.07.05	5	1
2018.07.08	5	1
2018.07.08	3	3
2018.07.12	5	1
2018.07.15	5	1
2018.07.16	3	1
2018.07.18	1	1
2018.07.19	4	2
2018.07.19	5	1
2018.07.22	5	1
2018.07.22	3	1
2018.07.26	5	1
2018.07.29	5	1
2018.07.31	3	2
2018.08.26	5	1
2018.08.29	3	3
2018.08.27	1	1
2018.08.29	4	1
2018.08.30	5	1
2018.09.01	3	4
2018.09.06	5	1
2018.09.09	3	3
2018.09.10	1	3
2018.09.13	5	1
2018.09.18	3	2
2018.09.20	5	1
2018.09.23	3	1
2018.09.24	4	2
2018.09.27	5	1
2018.09.29	3	1
2018.10.04	5	1
2018.10.10	3	2
2018.10.10	5	1
2018.10.15	3	2
2018.10.18	5	1
2018.10.22	3	6
2018.10.25	5	1
2018.10.31	3	3
2018.11.01	5	1
2018.11.04	3	13
2018.11.05	1	2
2018.11.07	4	1
2018.11.15	5	1
2018.11.17	3	7
2018.11.22	5	1
2018.11.26	3	3
2018.11.29	5	1
2018.12.06	5	1
2018.12.13	5	1
2018.12.19	4	2
2018.12.20	5	1
2018.12.26	5	1
