spectatorid	matchid	timestamp
48	15	14:18
87	16	15:44
82	5	13:17
188	3	15:36
41	19	14:38
109	11	16:08
79	7	13:00
80	11	16:42
163	19	15:16
41	7	13:26
112	13	13:07
79	8	15:05
155	12	13:58
72	18	17:10
54	12	13:05
87	1	14:23
106	6	16:20
122	8	15:00
185	3	16:19
132	14	12:37
3	1	14:32
93	10	14:51
177	7	12:40
1	2	15:05
118	13	13:37
108	9	16:50
3	14	12:50
26	1	14:40
36	16	15:33
82	7	13:09
116	7	13:22
64	5	13:27
121	3	15:48
178	17	13:26
156	3	15:53
108	6	16:36
160	7	12:32
19	14	12:45
91	18	16:16
72	17	13:09
16	12	13:06
3	4	12:57
178	12	14:28
68	16	15:10
188	1	15:06
14	10	14:38
4	2	15:08
74	16	15:54
129	18	16:57
155	4	12:39
132	15	14:19
138	14	12:49
186	12	13:26
55	7	12:45
149	3	15:48
56	15	14:05
158	1	14:18
144	1	14:47
129	17	13:18
188	11	16:22
110	4	12:32
101	10	15:06
189	8	15:43
177	14	12:34
100	18	16:38
9	13	12:58
165	15	14:13
14	17	13:47
60	3	15:53
13	15	14:09
36	19	14:57
40	2	14:50
162	10	14:31
83	14	13:06
42	3	15:09
4	18	16:32
51	1	15:08
108	10	15:06
68	6	16:36
28	4	13:06
68	11	17:22
85	17	13:01
53	5	13:28
128	18	16:52
21	8	15:27
127	18	16:23
122	16	16:26
101	18	16:21
55	11	16:16
148	11	16:45
156	7	13:49
84	1	14:29
131	19	14:39
67	19	15:14
52	14	12:49
123	5	13:19
37	4	12:50
3	13	13:26
22	19	15:47
107	1	14:50
95	19	14:34
58	2	15:51
160	15	14:21
91	2	15:28
107	11	16:49
122	14	12:42
184	18	16:46
137	18	16:31
142	16	15:13
180	8	15:52
36	8	16:29
32	10	15:22
164	17	13:11
41	6	16:57
31	6	16:58
83	10	15:26
127	14	13:25
133	6	16:42
63	4	13:26
81	8	15:05
172	11	16:33
46	9	16:19
82	2	14:45
125	9	16:32
135	17	13:02
70	9	16:14
95	14	13:08
172	4	13:28
102	4	13:41
187	2	15:11
151	17	13:21
75	9	17:09
130	17	13:46
60	18	17:23
85	16	15:15
165	18	16:00
93	6	16:37
147	12	13:32
152	14	12:53
182	16	15:16
80	4	12:56
135	12	13:13
131	8	15:32
85	12	13:02
141	9	16:19
170	12	13:34
178	5	12:57
106	11	16:36
45	18	16:34
9	15	14:25
12	8	15:24
22	16	15:31
115	17	13:29
137	6	16:17
102	2	15:30
107	15	14:02
190	10	15:10
141	5	13:13
49	7	12:38
138	19	14:42
51	6	16:38
145	13	12:51
185	5	13:12
68	9	16:46
25	17	13:38
135	10	14:39
157	8	15:24
71	14	13:14
