id	mdate	startsat	ticketprice	mtype
1	2019.03.23	15:00	500	championship
2	2019.04.20	15:30	1000	championship
3	2018.09.08	16:00	500	championship
4	2018.11.03	13:30	500	championship
5	2018.12.01	13:30	500	championship
6	2018.08.15	17:00	200	cup
7	2018.11.17	13:30	1000	championship
8	2019.05.18	16:00	500	championship
9	2018.08.22	17:00	200	cup
10	2018.09.22	15:30	500	championship
11	2018.08.25	17:00	500	championship
12	2018.10.06	14:00	1000	championship
13	2018.10.20	13:30	500	championship
14	2019.03.09	13:30	500	championship
15	2018.09.26	15:00	500	cup
16	2019.05.04	16:00	500	championship
17	2018.10.24	14:00	1000	cup
18	2018.08.11	17:00	500	championship
19	2019.04.06	15:30	500	championship
